timestamp,target_id,x,y,z,vx,vy,vz,status
11.3,13,-3540.5,3081.83,2685.51,33.0864,-28.8001,-25.0964,TENTATIVE
11.5,1,1159.18,5014.32,3009.59,100.453,-0.826326,-0.477132,CONFIRMED
11.5,3,1158.62,6863.49,3007.36,99.8073,-100.5,0.653535,CONFIRMED
11.5,10,2999.93,3154.05,3009.88,-15.2426,102.824,10.6707,TENTATIVE
11.5,11,3168.22,1286.22,2614.29,-102.082,-41.4431,-84.2345,TENTATIVE
11.5,12,-1651.06,1684.72,493.267,-119.707,122.147,35.7634,TENTATIVE
11.5,13,-3533.88,3076.07,2680.49,33.0864,-28.8001,-25.0964,TENTATIVE
11.7,1,1178.86,5014.47,3009.14,100.246,-0.678096,-0.640064,CONFIRMED
11.7,3,1177.11,6843.13,3008.66,99.1695,-100.6,1.14306,CONFIRMED
11.7,10,3001.69,3174.24,3007.64,-11.6336,102.455,7.48751,TENTATIVE
11.7,11,3147.8,1277.93,2597.45,-102.082,-41.4431,-84.2345,TENTATIVE
11.7,12,-1675.01,1709.15,500.42,-119.707,122.147,35.7634,TENTATIVE
11.7,13,-3527.26,3070.31,2675.47,33.0864,-28.8001,-25.0964,TENTATIVE
11.8,1,1189.09,5014.55,3008.75,100.348,-0.612351,-0.790886,CONFIRMED
11.8,3,1188.78,6832.93,3008.4,99.9533,-100.676,0.992551,CONFIRMED
11.8,10,3000.53,3184.48,3008.39,-11.6336,102.455,7.48751,TENTATIVE
11.8,11,3137.6,1273.79,2589.02,-102.082,-41.4431,-84.2345,TENTATIVE
11.8,12,-1686.98,1721.36,503.996,-119.707,122.147,35.7634,TENTATIVE
11.8,13,-3523.96,3067.43,2672.96,33.0864,-28.8001,-25.0964,TENTATIVE
12,1,1208.13,5014.83,3008.34,99.8045,-0.391525,-0.938407,CONFIRMED
12,3,1209.41,6812.62,3008.74,100.24,-100.755,1.05488,CONFIRMED
12,10,3001.62,3205.07,3006.39,-9.35152,102.48,5.20029,TENTATIVE
